iter	Passed	Remaining
0	1	156
1	3	149
2	4	139
3	5	128
4	6	124
5	7	120
6	8	118
7	10	116
8	11	115
9	12	114
10	13	112
11	15	110
12	16	108
13	17	106
14	18	105
15	19	104
16	21	102
17	22	101
18	23	99
19	24	98
20	25	96
21	27	95
22	28	94
23	29	93
24	30	91
25	31	90
26	33	89
27	34	88
28	35	86
29	36	85
30	38	84
31	39	83
32	40	82
33	41	81
34	43	79
35	44	78
36	45	77
37	46	76
38	47	74
39	49	73
40	50	72
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	60	60
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	79	40
66	80	39
67	81	38
68	82	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	90	30
75	91	28
76	92	27
77	93	26
78	95	25
79	96	24
80	97	22
81	98	21
82	100	20
83	101	19
84	102	18
85	103	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	115	6
95	116	4
96	117	3
97	118	2
98	120	1
99	121	0
